Position,Artist,Title,Weeks,Peak,Streams,Total
1,Jung Kook , Seven (w/ Latto),14,1,623400,12032098
2,Ghea Indrawari , Jiwa Yang Bersedih,13,2,540141,6744811
3,Tate McRae , greedy,5,3,522384,2137025
4,Mitski , My Love Mine All Mine,4,4,494335,1355403
5,Jung Kook , 3D (w/ Jack Harlow),3,3,461703,1474270
6,Anggi Marito , Tak Segampang Itu,31,1,450145,16486365
7,JENNIE , You & Me,2,7,361530,732047
8,Taylor Swift , Cruel Summer,47,6,360686,9109016
9,SZA , Kill Bill,45,1,349043,25650394
10,NewJeans , Super Shy,15,2,332768,7899221
11,Doja Cat , Paint The Town Red,11,6,330288,3015667
12,Masdo , Pujaanku (w/ Aisyah Aziz),13,10,312385,3498756
13,Mahalini , Sial,38,1,300713,20797431
14,James Arthur , Car's Outside,41,6,297283,12571536
15,Miley Cyrus , Angels Like You,39,4,284508,12762380
16,Arctic Monkeys , I Wanna Be Yours,67,16,282621,13880581
17,The Weeknd ," One Of The Girls (w/ JENNIE, Lily-Rose Depp)",17,17,268891,3321048
18,Sabrina Carpenter , Nonsense,45,8,266814,12075314
19,Aziz Hedra , Somebody's Pleasure,28,10,266767,7656117
20,Fabio Asher , Rumah Singgah,75,3,257165,25907701
21,dhruv , double take,128,3,256383,28835176
22,Olivia Rodrigo , vampire,16,6,255517,5789919
23,Fadhilah Intan ," Dawai (From ""Air Mata Di Ujung Sajadah"")",2,23,245393,358960
24,Kenya Grace , Strangers,6,24,245113,1209130
25,Billie Eilish ," What Was I Made For? [From The Motion Picture ""Barbie""]",14,4,241969,5044448
26,The Weeknd , Die For You,115,8,237335,22615755
27,Justin Bieber , Ghost,107,1,233885,27809066
28,Ruth B. , Dandelions,137,5,217773,28928851
29,Taylor Swift , Blank Space,163,29,206085,14909571
30,JVKE , golden hour,60,1,205495,22912719
31,d4vd , Here With Me,54,2,204343,18787743
32,Doja Cat , Agora Hills,4,32,204333,554375
33,SZA , Snooze,42,7,202999,11437310
34,The Weeknd , Starboy (w/ Daft Punk),131,2,199859,14252194
35,Saixse , Malampagi,20,3,199309,7501267
36,Luqman Podolski , Mungkin Aku Tak Penting? (w/ Tish Errda),33,19,199096,8001507
37,Nadin Amizah , Rayuan Perempuan Gila,14,15,195351,3801816
38,FIFTY FIFTY , Cupid - Twin Ver.,29,1,195062,13872496
39,Danial Kifli , Pergilah Cinta,17,34,194183,3295704
40,Nadhif Basalamah , penjaga hati,1,40,193298,193298
41,Benson Boone , In The Stars,69,41,189544,8566382
42,The Weeknd , Die For You (w/ Ariana Grande),32,2,188388,10789081
43,Taylor Swift , Style,37,43,188098,4984364
44,Aan Story , Trauma (w/ Elsya),18,22,187300,3478334
45,Iera Milpan , Retak Hatiku,13,29,187221,2435026
46,Awdella , Tertawan Hati,51,6,187046,15951011
47,One Direction , Night Changes,236,4,186587,18511563
48,Sufian Suhaimi , Terasa Ada,61,30,178373,7570056
49,Idgitaf , Satu-Satu,5,49,176100,791433
50,NewJeans , OMG,42,2,172302,16218556
